"date","decision","arxiv_id","arxiv_link","title","first_author","last_author","score","note","selected_at"
"2026-08-13","heart","2608.11601","https://arxiv.org/abs/2608.11601","How Can Driving World Models Do Counterfactual Prediction?","Jiaru Zhang","Ziran Wang","2","","2026-08-13T18:41:33.806Z"
"2026-08-13","heart","2608.11859","https://arxiv.org/abs/2608.11859","Small-Scale Experiments: Are We There Yet?","Nicholas Lourie","Sanae Lotfi","2","","2026-08-13T18:42:50.062Z"
