"shared_at","x_account","x_post_id","x_post_url","share_type","arxiv_id","arxiv_url","post_text","first_seen_at"
"2026-08-14T21:49:37.000Z","fly51fly","2088382560237924515","https://x.com/fly51fly/status/2088382560237924515","post","2608.12593","https://arxiv.org/abs/2608.12593","[LG] DiG-bench: Discovery in Games R M. Battleday, K Sandbrink, J Cullen-Drohan, Z Yan… [Thinking About Thinking] (2026) https://t.co/wYT0nxxfFh https://t.co/lOyjfFhdU8","2026-08-27T19:25:18.950Z"
"2026-08-14T21:41:49.000Z","fly51fly","2088380599933509874","https://x.com/fly51fly/status/2088380599933509874","post","2608.13335","https://arxiv.org/abs/2608.13335","[LG] Neural Quadratic Forms: A Unified Minimal Model for Sudden Learning and Scaling Laws L Ziyin, Y Xu, T Poggio, I Chuang [MIT &amp; EPFL] (2026) https://t.co/Kq59Upq3sM https://t.co/fwcEZdpruM","2026-08-27T19:25:18.950Z"
"2026-08-14T21:30:47.000Z","fly51fly","2088377823195279752","https://x.com/fly51fly/status/2088377823195279752","post","2608.12629","https://arxiv.org/abs/2608.12629","[LG] CAKE: Compiler-Agent Co-Design for Frontier Kernel Evolution Z Ye, Y Huang, H Jin, B Hou…[NVIDIA &amp; CMU] (2026) https://t.co/AYeTti2mSd https://t.co/GZh7lUMBvu","2026-08-27T19:25:18.950Z"
"2026-08-14T21:20:24.000Z","fly51fly","2088375208373887149","https://x.com/fly51fly/status/2088375208373887149","post","2608.13520","https://arxiv.org/abs/2608.13520","[LG] The data geometry of masking diffusion: Certified-optimal schedules via unmasking growth complexity M J. Wainwright [MIT] (2026) https://t.co/cjiIhln1xW https://t.co/lRSjNPCPrY","2026-08-27T19:25:18.950Z"
"2026-08-14T11:05:21.000Z","che_shr_cat","2088220424920309895","https://x.com/che_shr_cat/status/2088220424920309895","replied_to","2608.00146","https://arxiv.org/abs/2608.00146","10/ Full technical deep dive: https://t.co/B1gffE6DEs Paper: https://t.co/QH0JYyhV7G Is non-autoregressive decoding finally practical for production agents? What is your take?","2026-08-27T19:25:18.950Z"
"2026-08-13T22:01:55.000Z","fly51fly","2088023268410503465","https://x.com/fly51fly/status/2088023268410503465","post","2608.12026","https://arxiv.org/abs/2608.12026","[LG] SoftWater: Class-Aware Rate Allocation for Softmax Quantization J V. Cavalcanti, A C. Wilson [MIT] (2026) https://t.co/PmVPdeHKVI https://t.co/9meawC8K48","2026-08-27T19:25:18.950Z"
"2026-08-13T21:50:44.000Z","fly51fly","2088020452858085482","https://x.com/fly51fly/status/2088020452858085482","post","2608.11859","https://arxiv.org/abs/2608.11859","[LG] Small-Scale Experiments: Are We There Yet? N Lourie, K Cho, K Ullrich, S Lotfi [FAIR at MSL Meta &amp; New York University] (2026) https://t.co/RgepCXo8oL https://t.co/Sx86GtmtS1","2026-08-27T19:25:18.950Z"
"2026-08-13T21:42:35.000Z","fly51fly","2088018405001658813","https://x.com/fly51fly/status/2088018405001658813","post","2608.12253","https://arxiv.org/abs/2608.12253","[CL] One Frozen Simulator Is Not Enough: Simulator Collapse in Multi-Agent RL S Yu, N Tomlin, M Abdulhai, X Lu… [Northeastern University &amp; New York University &amp; UC Berkeley] (2026) https://t.co/fwEofCVNzw https://t.co/6wNgMuLqQ8","2026-08-27T19:25:18.950Z"
"2026-08-13T21:32:49.000Z","fly51fly","2088015946426519639","https://x.com/fly51fly/status/2088015946426519639","post","2608.12218","https://arxiv.org/abs/2608.12218","[CL] Information Abundance Paradox: Long-Context Training Undermines Parametric Knowledge A Uzunoglu, B v Durme, D Khashabi [Johns Hopkins University] (2026) https://t.co/WGZReLMub8 https://t.co/WV0bTLecbz","2026-08-27T19:25:18.950Z"
"2026-08-13T21:23:03.000Z","fly51fly","2088013488560144446","https://x.com/fly51fly/status/2088013488560144446","post","2608.11612","https://arxiv.org/abs/2608.11612","[LG] Dion3: Full-Stack Orthogonal Updates N Amsel, J Zhang, K Ahn, A Naeimi… [New York University &amp; Princeton University &amp; NVIDIA] (2026) https://t.co/VoiWIdE0in https://t.co/eNNd4jAkFw","2026-08-27T19:25:18.950Z"
"2026-08-13T16:51:36.000Z","che_shr_cat","2087945176941482015","https://x.com/che_shr_cat/status/2087945176941482015","post","2608.07222","https://arxiv.org/abs/2608.07222","9/ Read my full technical breakdown here: https://t.co/u1s4EQKZI4 Read the original Meta FAIR paper: https://t.co/V7n1Lv8sWW Follow for clear, technical breakdowns of frontier AI research.","2026-08-27T19:25:18.950Z"
"2026-08-13T09:16:28.000Z","rosinality","2087830638913056770","https://x.com/rosinality/status/2087830638913056770","post","2608.11669","https://arxiv.org/abs/2608.11669","https://t.co/ADtoP0f9qE Randomly drop rubric items to suppress reward hacking. https://t.co/k6c2ul17KY","2026-08-27T19:25:18.950Z"
"2026-08-13T09:05:00.000Z","rosinality","2087827752896319557","https://x.com/rosinality/status/2087827752896319557","post","2608.12218","https://arxiv.org/abs/2608.12218","https://t.co/l5xWRlgRI6 During pretraining if long context gives enough information for tasks then the model could learn to utilize context instead of internalizing tasks. Maybe internalizing tasks could be suppressed and it could be useful to build a pretraining curriculum? https://t.co/Ga8iXlRjsr","2026-08-27T19:25:18.950Z"
"2026-08-13T07:34:06.000Z","rosinality","2087804873899209174","https://x.com/rosinality/status/2087804873899209174","post","2608.11612","https://arxiv.org/abs/2608.11612","https://t.co/RgJ4IquARQ More scalable Muon. Instead of (XX^T)^(-1/2)X, approximating XX^T (Gram Newton-Schulz), Symmetric GEMM kernel, and communication optimization. https://t.co/C4T4eSsC1y","2026-08-27T19:25:18.950Z"
"2026-08-13T06:56:32.000Z","rosinality","2087795422664204519","https://x.com/rosinality/status/2087795422664204519","post","2608.11859","https://arxiv.org/abs/2608.11859","https://t.co/CxuUQNJoq7 Why is it hard to estimate scaling laws using small scale experiments? Because it is hard to tune hyperparameters for small scale runs. And even with tuned runs there is a practical bound for extrapolation. https://t.co/91W0VOo1Pw","2026-08-27T19:25:18.950Z"
"2026-08-12T21:59:49.000Z","fly51fly","2087660353257886051","https://x.com/fly51fly/status/2087660353257886051","post","2608.10886","https://arxiv.org/abs/2608.10886","[CV] GESTO: Human-Centric Spatio-Temporal Memory for Reasoning in Dynamic Scenes E Bartoli, B He, D Rotondi, S Koch, F Tombari, K O. Arras, P Jensfelt, Y Cai, I Leite [KTH Royal Institute of Technology &amp; University of Stuttgart] (2026) https://t.co/FAfglfyC6f https://t.co/QLpOUhE80J","2026-08-27T19:25:18.950Z"
"2026-08-12T21:50:17.000Z","fly51fly","2087657952899641382","https://x.com/fly51fly/status/2087657952899641382","post","2608.10327","https://arxiv.org/abs/2608.10327","[AI] Toward a Theory of Value in AI Alignment A Smart, S Ahmed, J Kay, J Tobin, K Shrishak, A Birhane [Google Research &amp; UCLA &amp; Google Deep Mind] (2026) https://t.co/gRDQKXDZXJ https://t.co/kn8ygE6UdO","2026-08-27T19:25:18.950Z"
"2026-08-12T21:35:18.000Z","fly51fly","2087654180525887925","https://x.com/fly51fly/status/2087654180525887925","post","2608.10251","https://arxiv.org/abs/2608.10251","[CL] Off-Axis, On Purpose: Where a Transformer Computes Concepts and Why it Does So M Oskin [University of Washington] (2026) https://t.co/XjvlzvwceE https://t.co/so8knPnCWq","2026-08-27T19:25:18.950Z"
"2026-08-12T21:25:33.000Z","fly51fly","2087651730645508537","https://x.com/fly51fly/status/2087651730645508537","post","2608.11181","https://arxiv.org/abs/2608.11181","[AI] How to Verify Consistency of Probabilistic Claims O Paradise, O Richardson, Y Bengio, S Goldwasser [EPFL &amp; Universit ́e de Montreal] (2026) https://t.co/j4ypsiczAF https://t.co/GSOEU2b1wz","2026-08-27T19:25:18.950Z"
"2026-08-12T21:14:48.000Z","fly51fly","2087649024375652375","https://x.com/fly51fly/status/2087649024375652375","post","2608.10296","https://arxiv.org/abs/2608.10296","[CL] Cracks in the Foundation: Seemingly Minor Architectural Choices Impact Long Context Extension A Bertsch, L Soldaini, M R. Gormley, G Neubig… [Ai2 &amp; CMU] (2026) https://t.co/kdaoTYBOli https://t.co/Rii9nju2Vx","2026-08-27T19:25:18.950Z"
"2026-08-12T11:54:02.000Z","che_shr_cat","2087507902529446161","https://x.com/che_shr_cat/status/2087507902529446161","replied_to","2608.00754","https://arxiv.org/abs/2608.00754","9/ Read the full technical review and paper breakdown: Review: https://t.co/WbDhjtXS3E Paper: https://t.co/2qL1I4Yqen What's your take on digital vs analog thermodynamic hardware? Let me know below!","2026-08-27T19:25:18.950Z"
"2026-08-12T07:04:00.000Z","rosinality","2087434913658142958","https://x.com/rosinality/status/2087434913658142958","post","2608.10296","https://arxiv.org/abs/2608.10296","https://t.co/h77FOOMNBe QKNorm, GQA, SWA, shorter pretraining context length negatively affect long context extension. https://t.co/ry31Hy5SH7","2026-08-27T19:25:18.950Z"
"2026-08-11T21:59:53.000Z","fly51fly","2087297981859143728","https://x.com/fly51fly/status/2087297981859143728","post","2608.08958","https://arxiv.org/abs/2608.08958","[LG] Idea Search: Guiding Tree Search with Ideas to Explore Diverse Scientific Methods X J Wang, H Cui, M P. Brenner, S Venugopalan [California Institute of Technology &amp; Google Research] (2026) https://t.co/c2Av6dwjSK https://t.co/4yg3IUQmmE","2026-08-27T19:25:18.950Z"
"2026-08-11T21:50:02.000Z","fly51fly","2087295502492872984","https://x.com/fly51fly/status/2087295502492872984","post","2608.09366","https://arxiv.org/abs/2608.09366","[LG] Beyond Binary: Continuous State Optimization with Graph-Structured Objectives C Cortes, Y Mansour, M Mohri [Google Research &amp; Tel Aviv University] (2026) https://t.co/2g6qP6Brvz https://t.co/lCH21PdsaY","2026-08-27T19:25:18.950Z"
"2026-08-11T21:43:08.000Z","fly51fly","2087293764083806285","https://x.com/fly51fly/status/2087293764083806285","post","2608.09138","https://arxiv.org/abs/2608.09138","[RO] SpeedTuning: Speeding Up Policy Execution with Lightweight Reinforcement Learning D D. Yuan, T Z. Zhao, K Burns, C Finn [Stanford University] (2026) https://t.co/T5WJ6fFPlO https://t.co/B3SEDjY0tx","2026-08-27T19:25:18.950Z"
"2026-08-11T21:29:45.000Z","fly51fly","2087290395827069100","https://x.com/fly51fly/status/2087290395827069100","post","2608.08020","https://arxiv.org/abs/2608.08020","[AI] Thought-Level Beam Search for Reasoning L Yang, H Luo, T Dao, R Netravali [Princeton University &amp; MIT &amp; Meta AI] (2026) https://t.co/0VzycCj3lI https://t.co/TE0JogFyRp","2026-08-27T19:25:18.950Z"
"2026-08-11T21:19:30.000Z","fly51fly","2087287817441607699","https://x.com/fly51fly/status/2087287817441607699","post","2608.08888","https://arxiv.org/abs/2608.08888","[AI] Full-bandwidth transformer X Wang, Z Cai, Z Zhan, H Dong… [Johns Hopkins University &amp; Princeton University &amp; Microsoft] (2026) https://t.co/xQ5s9wg4ag https://t.co/Lpwp83xhrb","2026-08-27T19:25:18.950Z"
"2026-08-11T20:53:49.000Z","che_shr_cat","2087281353431630068","https://x.com/che_shr_cat/status/2087281353431630068","replied_to","2608.02412","https://arxiv.org/abs/2608.02412","10/ Read the full technical breakdown here: https://t.co/Gs0MHcBGR6 Original paper: https://t.co/8hvFZqRCKP What is your default baseline for tabular data? Let us know below!","2026-08-27T19:25:18.950Z"
"2026-08-10T21:58:57.000Z","fly51fly","2086935357518753883","https://x.com/fly51fly/status/2086935357518753883","post","2608.06630","https://arxiv.org/abs/2608.06630","[LG] The Sparsity Whisperer L Kong, I Subramanian, M Adler, D Alistarh… [MIT] (2026) https://t.co/pU3797u1Xq https://t.co/Oqdj9AksBV","2026-08-27T19:25:18.950Z"
"2026-08-10T21:51:16.000Z","fly51fly","2086933422925349335","https://x.com/fly51fly/status/2086933422925349335","post","2608.06422","https://arxiv.org/abs/2608.06422","[LG] Sharding Prevents LLM Oversight Failures and Adversarial Exploitation V Akinwande, J. Z Kolter, A Nayebi [CMU] (2026) https://t.co/Ik93jiv2fB https://t.co/Z3lpTVdIaW","2026-08-27T19:25:18.950Z"
"2026-08-10T21:40:25.000Z","fly51fly","2086930696019628358","https://x.com/fly51fly/status/2086930696019628358","post","2608.06564","https://arxiv.org/abs/2608.06564","[LG] Quantization Damage Is Multiplicative, Not Additive Z Wu, S Dhiman, A Koshiyama [Holistic AI] (2026) https://t.co/AJyJ5xF6Lm https://t.co/0eJ5yF8L91","2026-08-27T19:25:18.950Z"
"2026-08-10T21:30:45.000Z","fly51fly","2086928263704871068","https://x.com/fly51fly/status/2086928263704871068","post","2608.07222","https://arxiv.org/abs/2608.07222","[CL] Skaling: Chinchilla's Exponents Meet Kaplan's Coupling M Videau, B Youbi-Idrissi, D Lopez-Paz, K Ahuja [FAIR at Meta] (2026) https://t.co/u2BnuqgtWT https://t.co/oX2uDjatU4","2026-08-27T19:25:18.950Z"
